120MM.SHP	120mm Cannon shot
12GREEN.FNT	12 green
12GRNGRD.FNT	12 green grid
3POINT.FNT	3 point
50CAL.SHP	50 calibre Cannon shot
6.FNT	6
6POINT.FNT	6 point
80MX226M.AUD	C&C 80s mix
8FAT.FNT	8 fat
8POINT.FNT	8 point
A10.SHP	A10 Warthog
A10ICNH.DES	ICON: A10 Warthog
A10ICNH.TEM	ICON: A10 Warthog
A10ICNH.WIN	ICON: A10 Warthog
A10ICON.SHP	ICON: A10 Warthog
ACCOM1.AUD	Mission Accomplished
ACKNO.V00	C&C #1 Achnoledged
ACKNO.V01	C&C #2 Achnoledged
ACKNO.V02	C&C #3 Achnoledged
ACKNO.V03	C&C #4 Achnoledged
AFFIRM1.V00	C&C #1 Affirmative
AFFIRM1.V01	C&C #2 Affirmative
AFFIRM1.V02	C&C #3 Affirmative
AFFIRM1.V03	C&C #4 Affirmative
AFLD.SHP	Airfield
AFLDICNH.DES	ICON: Airfield
AFLDICNH.TEM	ICON: Airfield
AFLDICNH.WIN	ICON: Airfield
AFLDICON.SHP	ICON: Airfield
AFLDMAKE.SHP	MAKE: Airfield
AFRICA.WSA	ANIM: African Mission selection
AIRREDY1.AUD	Airstrike Ready
AIRSTRIK.AUD	Air Strike
AIRSTRK.VQA	Guys Spotting Enemy Base For Planes
AIRSTRK.VQP	Guys Spotting Enemy Base For Planes
AKIRA.VQA	Nod Base Being Ion Cannoned
AKIRA.VQP	Nod Base Being Ion Cannoned
ALL.INF	INF: Filenames and Descriptions
ANIM0001.WSA	ANIM: Welcome To The EVA Install Program
ANIM0002.WSA	ANIM: Mouth Moving
ANIM0006.WSA	ANIM: Animated Window Bits
ANIM01.WSA	ANIM: Welcome To The EVA Install Program Covert Ops
AOI.AUD	Act On Instinct
AOI.VAR	Act On Instinct SFX
APC.SHP	APC
APCICNH.DES	ICON: APC
APCICNH.TEM	ICON: APC
APCICNH.WIN	ICON: APC
APCICON.SHP	ICON: APC
APPEAR1.AUD	???
ARCO.SHP	Arcology
ARCOICON.SHP	ICON: Arcology
ART-EXP1.SHP	Explosion
ARTY.SHP	Artillery
ARTYICNH.DES	ICON: Artillery
ARTYICNH.TEM	ICON: Artillery
ARTYICNH.WIN	ICON: Artillery
ARTYICON.SHP	ICON: Artillery
ATOMDOOR.SHP	Nuke Firing Smoke
ATOMICDN.SHP	Nuke Landing
ATOMICNH.DES	ICON: Nuclear Strike
ATOMICNH.TEM	ICON: Nuclear Strike
ATOMICNH.WIN	ICON: Nuclear Strike
ATOMICON.SHP	ICON: Nuclear Strike
ATOMICUP.SHP	Nuke Launching
ATOMSFX.SHP	Nuclear Blast
ATTRACT2.CPS	PICT: Coming Attractions
ATWR.SHP	Advanced Guard Tower
ATWRICNH.DES	ICON: Advanced Guard Tower
ATWRICNH.TEM	ICON: Advanced Guard Tower
ATWRICNH.WIN	ICON: Advanced Guard Tower
ATWRICON.SHP	ICON: Advanced Guard Tower
ATWRMAKE.SHP	MAKE: Advanced Guard Tower
AWAIT1.V00	C&C #1 Waiting orders
AWAIT1.V01	C&C #2 Waiting orders
AWAIT1.V02	C&C #3 Waiting orders
AWAIT1.V03	C&C #4 Waiting orders
B1.DES	Rock
B1.TEM	Rock
B1.WIN	Rock
B2.DES	Rocks
B2.TEM	Rocks
B2.WIN	Rocks
B3.TEM	Large Rocks
B3.WIN	Large Rocks
B4.DES	Small Rocks
B5.DES	Small Rocks
B6.DES	Small Rocks
BANNER.VQA	GDI Banner Unfolding
BANNER.VQP	GDI Banner Unfolding
BANR_NOD.VQA	NOD Banner Unfolding
BANR_NOD.VQP	NOD Banner Unfolding
BAR3RED.SHP	NOD Score bar
BAR3YLW.SHP	GDI Score bar
BARB.SHP	Razor wire
BARBICNH.DES	ICON: Razor wire
BARBICNH.TEM	ICON: Razor wire
BARBICNH.WIN	ICON: Razor wire
BARBICON.SHP	ICON: Razor Wire
BARS3.AUD	???
BASEATK1.AUD	Base Under Atack
BATLCON1.AUD	Battle Controll Terminated
BAZOOK1.AUD	Bazooka
BAZOOK1.JUV	Bazooka
BCANYON.VQA	Orca Flying Through Canyon
BCANYON.VQP	Orca Flying Through Canyon
BED2.AUD	???
BEEPY2.AUD	Beep
BEEPY3.AUD	Beep
BEEPY6.AUD	Beep
BEFEARED.AUD	Enemies To Be Feared
BEFEARED.VAR	Enemies To Be Feared SFX
BGGY.SHP	NOD Buggy
BGGYICNH.DES	ICON: NOD Buggy
BGGYICNH.TEM	ICON: NOD Buggy
BGGYICNH.WIN	ICON: NOD Buggy
BGGYICON.SHP	ICON: NOD Buggy
BIB1.DES	Bib 1
BIB1.TEM	Bib 1
BIB1.WIN	Bib 1
BIB2.DES	Bib 2
BIB2.TEM	Bib 2
BIB2.WIN	Bib 2
BIB3.DES	Bib 3
BIB3.TEM	Bib 3
BIB3.WIN	Bib 3
BIKE.SHP	Recon Bike
BIKEICNH.DES	ICON: Recon Bike
BIKEICNH.TEM	ICON: Recon Bike
BIKEICNH.WIN	ICON: Recon Bike
BIKEICON.SHP	ICON: Recon Bike
BIO.SHP	Bio-research lab
BIOICON.SHP	ICON: Bio-Research lab
BIOMAKE.SHP	MAKE: Bio-Research lab
BKGROUND.VQA	Background On The Conflict
BKGROUND.VQP	Background On The Conflict
BLACKOUT.VQA	Blackout Of Nod Base
BLACKOUT.VQP	Blackout Of Nod Base
